phase,ap_mag,freq,fr_sep,amp,pow_ex,temp,grav,metal,rad,mass
HeB,13.23,61.33,5.768,42.6,34.8,4933,2.702,-0.1,30.04,5.52
HeB,13.68,37.18,4.222,102.0,15.7,4867,2.481,-0.16,33.629999999999995,4.16
RGB,9.85,59.7,5.794,75.0,17.2,4710,2.68,0.1,28.12,4.6
HeB,13.49,30.0,3.712,91.6,13.4,5013,2.394,-0.54,35.690000000000005,3.84
HeB,12.14,42.54,4.377,80.4,11.7,4750,2.534,-0.5,34.849999999999994,5.0600000000000005
RGB,10.91,69.12,6.47,65.2,21.9,4688,2.742,0.21,26.089999999999996,4.58
HeB,12.19,31.13,4.143,116.7,11.1,4963,2.408,-1.14,29.330000000000002,2.6799999999999997
RGB,12.88,37.85,4.342,117.7,14.9,4774,2.485,-0.2,31.799999999999997,3.76
RGB,12.93,79.73,7.787,74.0,25.9,4746,2.807,-0.19,20.740000000000002,3.3600000000000003
HeB,12.18,28.73,3.643,113.6,13.0,4897,2.371,-0.23,34.99,3.5
RGB,11.4,198.02,16.15,38.6,48.2,4832,3.206,-0.46,12.07,2.85
RGB,13.99,56.86,5.881,76.1,13.5,4915,2.668,-0.01,26.76,4.05
HeB,13.08,33.28,4.013,121.6,13.4,4964,2.437,-0.01,33.91,3.83
RGB,12.82,167.32,13.21,42.2,48.5,4795,3.131,0.3,15.389999999999999,3.8900000000000006
HeB,10.84,24.82,3.794,169.6,9.8,4774,2.302,-0.1,28.14,1.9300000000000002
RGB,14.0,148.74,12.615,43.7,41.6,5041,3.091,-0.44,15.41,3.5599999999999996
HeB,14.27,31.07,3.743,143.8,13.7,4534,2.388,0.41,34.230000000000004,3.4800000000000004
HeB,11.68,48.68,4.672,51.0,17.8,4942,2.602,-0.07,36.47,6.460000000000001
HeB,14.28,31.4,3.79,148.3,13.0,4580,2.395,0.42,34.08,3.51
HeB,13.83,29.1,4.277,131.4,12.2,4971,2.379,-0.72,26.21,2.0
HeB,12.07,41.69,4.51,74.1,16.8,4980,2.536,-0.51,33.440000000000005,4.67
RGB,13.86,61.14,6.298,86.7,20.1,4676,2.689,-0.24,23.990000000000002,3.42
RGB,13.02,15.6,2.191,238.4,6.4,4391,2.082,0.1,48.949999999999996,3.51
